PurchaseOrderNumber,LineNumber,SiteCode,ItemCode,NeedQuantity,OrderQuantity,UOM
PO_2024-W26_DC_02_SUP_002,1,DC_02,ITEM_0001,3,48,EA
PO_2024-W27_DC_01_SUP_002,1,DC_01,ITEM_0001,3010,3024,EA
PO_2024-W27_DC_02_SUP_002,1,DC_02,ITEM_0001,6414,6432,EA
PO_2024-W28_DC_01_SUP_002,1,DC_01,ITEM_0001,3233,3264,EA
PO_2024-W28_DC_02_SUP_002,1,DC_02,ITEM_0001,3294,3312,EA
PO_2024-W29_DC_01_SUP_002,1,DC_01,ITEM_0001,3615,3648,EA
PO_2024-W30_DC_01_SUP_002,1,DC_01,ITEM_0001,2947,2976,EA
PO_2024-W30_DC_02_SUP_002,1,DC_02,ITEM_0001,6382,6384,EA
PO_2024-W31_DC_01_SUP_002,1,DC_01,ITEM_0001,3485,3504,EA
PO_2024-W31_DC_02_SUP_002,1,DC_02,ITEM_0001,27,48,EA
PO_2024-W32_DC_01_SUP_002,1,DC_01,ITEM_0001,3275,3312,EA
PO_2024-W32_DC_02_SUP_002,1,DC_02,ITEM_0001,3313,3360,EA
PO_2024-W33_DC_01_SUP_002,1,DC_01,ITEM_0001,2880,2880,EA
PO_2024-W33_DC_02_SUP_002,1,DC_02,ITEM_0001,25,48,EA
PO_2024-W34_DC_01_SUP_002,1,DC_01,ITEM_0001,2791,2832,EA
PO_2024-W34_DC_02_SUP_002,1,DC_02,ITEM_0001,45,48,EA
PO_2024-W35_DC_01_SUP_002,1,DC_01,ITEM_0001,3071,3072,EA
PO_2024-W35_DC_02_SUP_002,1,DC_02,ITEM_0001,6363,6384,EA
PO_2024-W36_DC_01_SUP_002,1,DC_01,ITEM_0001,3093,3120,EA
PO_2024-W36_DC_02_SUP_002,1,DC_02,ITEM_0001,3322,3360,EA
PO_2024-W37_DC_01_SUP_002,1,DC_01,ITEM_0001,3040,3072,EA
PO_2024-W37_DC_02_SUP_002,1,DC_02,ITEM_0001,102,144,EA
PO_2024-W38_DC_01_SUP_002,1,DC_01,ITEM_0001,3167,3168,EA
PO_2024-W39_DC_01_SUP_002,1,DC_01,ITEM_0001,3349,3360,EA
PO_2024-W39_DC_02_SUP_002,1,DC_02,ITEM_0001,9118,9120,EA
PO_2024-W40_DC_01_SUP_002,1,DC_01,ITEM_0001,3153,3168,EA
PO_2024-W40_DC_02_SUP_002,1,DC_02,ITEM_0001,522,528,EA
PO_2024-W41_DC_01_SUP_002,1,DC_01,ITEM_0001,3277,3312,EA
PO_2024-W41_DC_02_SUP_002,1,DC_02,ITEM_0001,104,144,EA
PO_2024-W42_DC_01_SUP_002,1,DC_01,ITEM_0001,153,192,EA
PO_2024-W43_DC_01_SUP_002,1,DC_01,ITEM_0001,6457,6480,EA
PO_2024-W43_DC_02_SUP_002,1,DC_02,ITEM_0001,6694,6720,EA
PO_2024-W44_DC_01_SUP_002,1,DC_01,ITEM_0001,3264,3264,EA
PO_2024-W44_DC_02_SUP_002,1,DC_02,ITEM_0001,2573,2592,EA
PO_2024-W45_DC_01_SUP_002,1,DC_01,ITEM_0001,214,240,EA
PO_2024-W46_DC_01_SUP_002,1,DC_01,ITEM_0001,6080,6096,EA
PO_2024-W46_DC_02_SUP_002,1,DC_02,ITEM_0001,663,672,EA
PO_2024-W47_DC_01_SUP_002,1,DC_01,ITEM_0001,3326,3360,EA
PO_2024-W47_DC_02_SUP_002,1,DC_02,ITEM_0001,6670,6672,EA
PO_2024-W48_DC_01_SUP_002,1,DC_01,ITEM_0001,354,384,EA
PO_2024-W48_DC_02_SUP_002,1,DC_02,ITEM_0001,2568,2592,EA
PO_2024-W49_DC_01_SUP_002,1,DC_01,ITEM_0001,6031,6048,EA
PO_2024-W49_DC_02_SUP_002,1,DC_02,ITEM_0001,3,48,EA
PO_2024-W50_DC_01_SUP_002,1,DC_01,ITEM_0001,3350,3360,EA
PO_2024-W51_DC_01_SUP_002,1,DC_01,ITEM_0001,4273,4320,EA
PO_2024-W51_DC_02_SUP_002,1,DC_02,ITEM_0001,3175,3216,EA
PO_2024-W52_DC_01_SUP_002,1,DC_01,ITEM_0001,2043,2064,EA
